file,title,url,word_count,has_tables,has_infobox,chosen_from
Fin.K.L.txt,Fin.K.L,https://so.wikipedia.org/wiki?curid=32880,115,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Las Anod District (Waqooyibari).txt,Las Anod District (Waqooyibari),https://so.wikipedia.org/wiki?curid=39717,150,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Tomie vs Tomie.txt,Tomie vs Tomie,https://so.wikipedia.org/wiki?curid=33634,101,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Maamulgoboleedka Soomaaliya.txt,Maamulgoboleedka Soomaaliya,https://so.wikipedia.org/wiki?curid=20196,381,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Xadhig (bir).txt,Xadhig (bir),https://so.wikipedia.org/wiki?curid=22964,196,0,0,/Users/user/data/sowiki-20250901/sowiki_txt
Sakura Ando.txt,Sakura Ando,https://so.wikipedia.org/wiki?curid=33152,59,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Last Dance.txt,Last Dance,https://so.wikipedia.org/wiki?curid=34866,99,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Dhalwo.txt,Dhalwo,https://so.wikipedia.org/wiki?curid=6889,144,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
180 (tiro).txt,180 (tiro),https://so.wikipedia.org/wiki?curid=13670,102,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
VMS.txt,VMS,https://so.wikipedia.org/wiki?curid=40579,72,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Waddanka Japan Kubedka.txt,Waddanka Japan Kubedka,https://so.wikipedia.org/wiki?curid=33609,209,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
89 (tiro).txt,89 (tiro),https://so.wikipedia.org/wiki?curid=13575,90,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Barnamijka Deegaanka Qaramada Midoobay.txt,Barnamijka Deegaanka Qaramada Midoobay,https://so.wikipedia.org/wiki?curid=17794,389,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Mamnuuc Instagram _Iraan.txt,Mamnuuc Instagram /Iraan,https://so.wikipedia.org/wiki?curid=38835,32,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Docol.txt,Docol,https://so.wikipedia.org/wiki?curid=4933,110,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Waddanamaha Polio.txt,Waddanamaha Polio,https://so.wikipedia.org/wiki?curid=34256,19,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Saqiiro.txt,Saqiiro,https://so.wikipedia.org/wiki?curid=4950,85,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Aşk-ı Memnu.txt,Aşk-ı Memnu,https://so.wikipedia.org/wiki?curid=30433,159,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Cabdullaahi Ciise.txt,Cabdullaahi Ciise,https://so.wikipedia.org/wiki?curid=2233,137,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Neefaha Waawayn.txt,Neefaha Waawayn,https://so.wikipedia.org/wiki?curid=13254,304,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Change.txt,Change,https://so.wikipedia.org/wiki?curid=34860,189,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Wadlaan qabiil.txt,Wadlaan qabiil,https://so.wikipedia.org/wiki?curid=41992,197,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Dabarroow.txt,Dabarroow,https://so.wikipedia.org/wiki?curid=4930,114,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Balidhiig.txt,Balidhiig,https://so.wikipedia.org/wiki?curid=6671,177,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Tirada ereyada halkii doorasho ee waddankiiba.txt,Tirada ereyada halkii doorasho ee waddankiiba,https://so.wikipedia.org/wiki?curid=32182,93,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Vincent Aboubakar.txt,Vincent Aboubakar,https://so.wikipedia.org/wiki?curid=21468,181,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
In the Morning.txt,In the Morning,https://so.wikipedia.org/wiki?curid=33408,167,0,0,/Users/user/data/sowiki-20250901/sowiki_txt
Miss A.txt,Miss A,https://so.wikipedia.org/wiki?curid=30527,153,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Rikter Cabir.txt,Rikter Cabir,https://so.wikipedia.org/wiki?curid=8400,193,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Teaserama.txt,Teaserama,https://so.wikipedia.org/wiki?curid=32802,77,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Farta laatiinka.txt,Farta laatiinka,https://so.wikipedia.org/wiki?curid=5722,124,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Behra.txt,Behra,https://so.wikipedia.org/wiki?curid=4625,39,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Kanye West.txt,Kanye West,https://so.wikipedia.org/wiki?curid=9253,225,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Hubka Nukliyeerka Dunida.txt,Hubka Nukliyeerka Dunida,https://so.wikipedia.org/wiki?curid=36845,105,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Abaar Somalia 2021.txt,Abaar Somalia 2021,https://so.wikipedia.org/wiki?curid=34394,63,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Howl.txt,Howl,https://so.wikipedia.org/wiki?curid=22818,45,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Free State Province.txt,Free State Province,https://so.wikipedia.org/wiki?curid=3700,20,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Tamarta Jabuuti.txt,Tamarta Jabuuti,https://so.wikipedia.org/wiki?curid=31882,139,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Sao Tome.txt,Sao Tome,https://so.wikipedia.org/wiki?curid=7147,227,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Reese Witherspoon.txt,Reese Witherspoon,https://so.wikipedia.org/wiki?curid=35186,114,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
